latitude,longitude,temperature,ndvi,recommendation
17.500565513076264,78.39045032110697,36.62682475999998,0.0,Plant trees and improve vegetation
17.500569225638156,78.39073262774596,36.44908772000002,0.0,Plant trees and improve vegetation
17.500572937799415,78.39101493445445,36.66442298000004,0.0,Plant trees and improve vegetation
17.50057664956006,78.39129724123238,36.57213644000001,0.0,Plant trees and improve vegetation
17.500580360920083,78.39157954807979,36.52428415999998,0.0,Plant trees and improve vegetation
17.500584071879484,78.39186185499665,36.51061207999999,0.0,Plant trees and improve vegetation
17.500587782438263,78.39214416198296,36.15855601999999,0.0,Plant trees and improve vegetation
17.50059149259642,78.3924264690387,36.196154240000055,0.0,Plant trees and improve vegetation
17.500595202353953,78.39270877616387,36.24742454,0.0,Plant trees and improve vegetation
17.500598911710863,78.39299108335847,36.40465346000002,0.0,Plant trees and improve vegetation
17.50060262066715,78.39327339062248,36.68151308000006,0.0,Plant trees and improve vegetation
17.500606329222816,78.3935556979559,36.934446560000026,0.0,Plant trees and improve vegetation
17.50061003737785,78.39383800535872,37.00964299999998,0.0,Plant trees and improve vegetation
17.500613745132267,78.39412031283094,36.87975824,0.0,Plant trees and improve vegetation
17.50061745248605,78.39440262037253,36.89001230000002,0.0,Plant trees and improve vegetation
17.500621159439213,78.39468492798352,36.88317626000003,0.0,Plant trees and improve vegetation
17.500624865991753,78.39496723566387,36.86950418000004,0.0,Plant trees and improve vegetation
17.500628572143665,78.39524954341358,36.79430774000002,0.0,Plant trees and improve vegetation
17.500632277894944,78.39553185123265,36.784053680000056,0.0,Plant trees and improve vegetation
17.500635983245598,78.39581415912107,36.72936536000003,0.0,Plant trees and improve vegetation
17.500639688195626,78.39609646707883,36.41832554000001,0.0,Plant trees and improve vegetation
17.500643392745022,78.39637877510592,36.35338316000002,0.0,Plant trees and improve vegetation
17.500647096893793,78.39666108320235,36.2918588,0.0,Plant trees and improve vegetation
17.500650800641928,78.39694339136807,36.11412175999999,0.0,Plant trees and improve vegetation
17.50065450398944,78.39722569960313,36.018417200000044,0.0,Plant trees and improve vegetation
17.500658206936322,78.39750800790749,35.83042610000001,0.0,Plant trees and improve vegetation
17.500661909482567,78.39779031628113,35.84751620000003,0.0,Plant trees and improve vegetation
17.50066561162819,78.39807262472408,35.987655020000034,0.0,Plant trees and improve vegetation
17.500669313373173,78.39835493323628,36.09361364000006,0.0,Plant trees and improve vegetation
17.500673014717535,78.39863724181778,35.95689284000002,0.0,Plant trees and improve vegetation
17.500676715661257,78.39891955046853,35.58432865999998,0.0,Plant trees and improve vegetation
17.500680416204347,78.39920185918855,35.40317360000006,0.0,Plant trees and improve vegetation
17.5006841163468,78.39948416797782,35.02035536000005,0.0,Plant trees and improve vegetation
17.50068781608862,78.39976647683633,34.58284880000002,0.0,Monitor area
17.500691515429814,78.40004878576408,33.461738240000045,0.0,Monitor area
17.500695214370364,78.40033109476104,32.921691080000016,0.0,Monitor area
17.500698912910284,78.40061340382725,32.63457740000001,0.0,Monitor area
17.500702611049572,78.40089571296267,31.65360566000004,0.0,Monitor area
17.500706308788217,78.40117802216729,33.68390954000006,0.0,Monitor area
17.50071000612623,78.40146033144109,34.083817880000026,0.0,Monitor area
17.500713703063603,78.40174264078411,34.56917672000003,0.0,Monitor area
17.500717399600344,78.40202495019629,34.36409551999998,0.0,Monitor area
17.50072109573644,78.40230725967766,34.84261832000004,0.0,Monitor area
17.500724791471903,78.40258956922818,35.150240120000035,0.0,Plant trees and improve vegetation
17.50072848680673,78.40287187884788,35.09555180000001,0.0,Plant trees and improve vegetation
17.500732181740922,78.40315418853673,34.93832287999999,0.0,Monitor area
17.50073587627446,78.40343649829474,34.94515892000004,0.0,Monitor area
17.50073957040737,78.40371880812187,34.98275713999999,0.0,Monitor area
17.500743264139636,78.40400111801813,35.33823122000001,0.0,Plant trees and improve vegetation
17.50074695747126,78.40428342798353,35.40659162000003,0.0,Plant trees and improve vegetation
17.500750650402246,78.40456573801802,35.611672820000024,0.0,Plant trees and improve vegetation
17.500754342932588,78.40484804812165,35.95689284000002,0.0,Plant trees and improve vegetation
17.50075803506229,78.40513035829436,36.93102854000006,0.0,Plant trees and improve vegetation
17.500761726791353,78.40541266853617,36.66784100000001,0.0,Plant trees and improve vegetation
17.500765418119762,78.40569497884707,36.07310552000001,0.0,Plant trees and improve vegetation
17.500769109047543,78.40597728922704,35.22543656000005,0.0,Plant trees and improve vegetation
17.50077279957467,78.40625959967608,34.329915320000055,0.0,Monitor area
17.500776489701156,78.40654191019419,33.55744279999999,0.0,Monitor area
17.500780179426997,78.40682422078136,32.92852712000001,0.0,Monitor area
17.500783868752194,78.40710653143758,30.49147886000003,0.0,Monitor area
17.500787557676745,78.40738884216283,30.7375763,0.0,Monitor area
17.500791246200652,78.40767115295712,31.175082860000032,0.0,Monitor area
17.50079493432391,78.40795346382043,31.75272824000001,0.0,Monitor area
17.500798622046524,78.40823577475278,33.89924480000002,0.0,Monitor area
17.50080230936849,78.40851808575411,34.58284880000002,0.0,Monitor area
17.500805996289802,78.40880039682447,35.27670685999999,0.0,Plant trees and improve vegetation
17.500809682810477,78.40908270796382,35.577492620000044,0.0,Plant trees and improve vegetation
17.500813368930498,78.40936501917216,35.71079540000005,0.0,Plant trees and improve vegetation
17.50081705464987,78.40964733044947,35.621926880000046,0.0,Plant trees and improve vegetation
17.500820739968596,78.40992964179577,35.54673044000003,0.0,Plant trees and improve vegetation
17.50082442488667,78.41021195321102,35.922712639999986,0.0,Plant trees and improve vegetation
17.50082810940409,78.41049426469525,36.03892532000003,0.0,Plant trees and improve vegetation
17.500831793520867,78.41077657624841,36.24400652000003,0.0,Plant trees and improve vegetation
17.50083547723699,78.41105888787052,36.34996514,0.0,Plant trees and improve vegetation
17.500839160552463,78.41134119956156,37.07458538000003,0.0,Plant trees and improve vegetation
17.50084284346728,78.41162351132154,38.031630980000045,0.0,Plant trees and improve vegetation
17.500846525981448,78.41190582315045,38.79384944000003,0.0,Plant trees and improve vegetation
17.50085020809496,78.41218813504825,39.29629838000005,0.0,Plant trees and improve vegetation
17.500853889807825,78.41247044701498,39.41934709999998,0.0,Plant trees and improve vegetation
17.500857571120033,78.41275275905059,39.28946234,0.0,Plant trees and improve vegetation
17.50086125203159,78.41303507115511,39.00234866000005,0.0,Plant trees and improve vegetation
17.500864932542488,78.4133173833285,38.40419516000003,0.0,Plant trees and improve vegetation
17.50086861265273,78.41359969557077,37.81287770000006,0.0,Plant trees and improve vegetation
17.500872292362324,78.41388200788191,37.412969360000034,0.0,Plant trees and improve vegetation
17.500875971671256,78.4141643202619,36.54479228000002,0.0,Plant trees and improve vegetation
17.500879650579538,78.41444663271076,36.44566970000005,0.0,Plant trees and improve vegetation
17.500883329087156,78.41472894522846,36.43541564000003,0.0,Plant trees and improve vegetation
17.500887007194123,78.415011257815,36.83532398,0.0,Plant trees and improve vegetation
17.50089068490043,78.41529357047038,36.94128260000002,0.0,Plant trees and improve vegetation
17.50089436220608,78.41557588319456,37.047241220000046,0.0,Plant trees and improve vegetation
17.50089803911107,78.4158581959876,37.14294577999999,0.0,Plant trees and improve vegetation
17.500901715615402,78.41614050884941,36.89684834000002,0.0,Plant trees and improve vegetation
17.50090539171908,78.41642282178003,36.93786458,0.0,Plant trees and improve vegetation
17.500909067422093,78.41670513477945,36.92077447999998,0.0,Plant trees and improve vegetation
17.50091274272445,78.41698744784766,36.86266813999998,0.0,Plant trees and improve vegetation
17.50091641762614,78.41726976098464,36.87975824,0.0,Plant trees and improve vegetation
17.500920092127174,78.4175520741904,36.84216002000005,0.0,Plant trees and improve vegetation
17.500923766227544,78.41783438746491,36.821651900000006,0.0,Plant trees and improve vegetation
17.500927439927256,78.41811670080818,36.82848794000006,0.0,Plant trees and improve vegetation
17.500931113226304,78.41839901422021,36.838742000000025,0.0,Plant trees and improve vegetation
17.500934786124688,78.41868132770098,36.84899605999999,0.0,Plant trees and improve vegetation
17.500938458622414,78.41896364125049,36.903684380000016,0.0,Plant trees and improve vegetation
17.50094213071947,78.41924595486871,37.11901964000003,0.0,Plant trees and improve vegetation
17.500945802415867,78.41952826855565,37.28992063999999,0.0,Plant trees and improve vegetation
17.500949473711596,78.41981058231131,37.35144500000001,0.0,Plant trees and improve vegetation
17.50095314460666,78.42009289613567,36.99938894000002,0.0,Plant trees and improve vegetation
17.500956815101063,78.42037521002874,36.77038160000001,0.0,Plant trees and improve vegetation
17.5009604851948,78.42065752399047,36.59606258000002,0.0,Plant trees and improve vegetation
17.500964154887868,78.42093983802091,36.493521980000025,0.0,Plant trees and improve vegetation
